ID,Class Label,Predicted_Class_Label
1361.bmp,109,109
1362.bmp,110,110
1363.bmp,111,111
1364.bmp,112,22
1365.bmp,113,113
1366.bmp,114,114
1367.bmp,115,73
1368.bmp,116,116
1369.bmp,117,117
1370.bmp,118,118
1371.bmp,119,119
1372.bmp,120,120
1373.bmp,121,121
1374.bmp,122,122
1375.bmp,123,123
1376.bmp,124,124
1377.bmp,125,125
1378.bmp,126,126
1379.bmp,127,127
1380.bmp,128,152
1381.bmp,129,129
1382.bmp,130,130
1383.bmp,131,131
1384.bmp,132,132
1385.bmp,133,133
1386.bmp,134,134
1387.bmp,135,135
1388.bmp,136,136
1389.bmp,137,137
1390.bmp,138,138
1391.bmp,139,139
1392.bmp,140,141
1393.bmp,141,141
1394.bmp,142,142
1395.bmp,143,121
1396.bmp,144,144
1397.bmp,145,145
1398.bmp,146,146
1399.bmp,147,147
1400.bmp,148,148
1401.bmp,149,149
1402.bmp,150,150
1403.bmp,151,151
1404.bmp,152,152
1405.bmp,153,153
1406.bmp,154,154
1407.bmp,155,155
1408.bmp,3,3
1409.bmp,4,4
1410.bmp,5,5
1411.bmp,6,6
1412.bmp,9,9
1413.bmp,10,10
1414.bmp,11,11
1415.bmp,12,12
1416.bmp,13,13
1417.bmp,14,14
1418.bmp,15,15
1419.bmp,16,52
1420.bmp,17,14
1421.bmp,18,18
1422.bmp,19,19
1423.bmp,20,20
1424.bmp,0,0
1425.bmp,81,81
1426.bmp,82,82
1427.bmp,83,83
1428.bmp,84,84
1429.bmp,85,85
1430.bmp,86,86
1431.bmp,87,87
1432.bmp,88,88
1433.bmp,89,89
1434.bmp,90,90
1435.bmp,91,91
1436.bmp,92,92
1437.bmp,93,93
1438.bmp,94,94
1439.bmp,95,95
1440.bmp,96,96
1441.bmp,97,97
1442.bmp,98,98
1443.bmp,99,99
1444.bmp,100,100
1445.bmp,101,101
1446.bmp,102,102
1447.bmp,103,103
1448.bmp,104,104
1449.bmp,105,105
1450.bmp,106,106
1451.bmp,107,107
1452.bmp,108,108
1453.bmp,109,109
1454.bmp,110,32
1455.bmp,111,111
1456.bmp,112,112
1457.bmp,113,113
1458.bmp,114,114
1459.bmp,115,115
1460.bmp,116,116
1461.bmp,117,117
1462.bmp,118,118
1463.bmp,119,119
1464.bmp,120,120
1465.bmp,121,121
1466.bmp,122,122
1467.bmp,123,123
1468.bmp,124,124
1469.bmp,125,127
1470.bmp,126,126
1471.bmp,127,127
1472.bmp,128,152
1473.bmp,129,129
1474.bmp,130,130
1475.bmp,131,131
1476.bmp,132,131
1477.bmp,133,133
1478.bmp,134,134
1479.bmp,135,135
1480.bmp,136,136
1481.bmp,137,137
1482.bmp,138,138
1483.bmp,139,139
1484.bmp,140,140
1485.bmp,141,141
1486.bmp,142,142
1487.bmp,143,143
1488.bmp,144,144
1489.bmp,145,145
1490.bmp,146,146
1491.bmp,147,147
1492.bmp,148,148
1493.bmp,149,149
1494.bmp,150,150
1495.bmp,151,151
1496.bmp,152,152
1497.bmp,153,153
1498.bmp,154,43
1499.bmp,155,155
1500.bmp,3,3
1501.bmp,4,4
1502.bmp,5,5
1503.bmp,6,6
1504.bmp,8,8
1505.bmp,9,9
1506.bmp,10,11
1507.bmp,11,11
1508.bmp,12,12
1509.bmp,13,13
1510.bmp,14,14
1511.bmp,15,15
1512.bmp,16,22
1513.bmp,17,17
1514.bmp,18,18
1515.bmp,19,19
1516.bmp,20,20
1517.bmp,21,21
1518.bmp,22,22
1519.bmp,23,23
1520.bmp,24,24
1521.bmp,25,25
1522.bmp,26,26
1523.bmp,27,4
1524.bmp,28,28
1525.bmp,29,29
1526.bmp,30,30
1527.bmp,31,31
1528.bmp,32,32
1529.bmp,33,33
1530.bmp,34,34
1531.bmp,35,35
1532.bmp,36,36
1533.bmp,37,145
1534.bmp,38,39
1535.bmp,39,39
1536.bmp,40,40
1537.bmp,41,41
1538.bmp,42,43
1539.bmp,43,43
1540.bmp,44,44
1541.bmp,45,45
1542.bmp,46,46
1543.bmp,47,47
1544.bmp,48,48
1545.bmp,49,49
1546.bmp,50,50
1547.bmp,51,51
1548.bmp,52,52
1549.bmp,53,52
1550.bmp,54,54
1551.bmp,55,55
1552.bmp,56,56
1553.bmp,57,57
1554.bmp,58,58
1555.bmp,59,59
1556.bmp,60,60
1557.bmp,61,61
1558.bmp,62,62
1559.bmp,63,63
1560.bmp,64,64
1561.bmp,65,65
1562.bmp,66,78
1563.bmp,67,67
1564.bmp,68,68
1565.bmp,69,69
1566.bmp,70,70
1567.bmp,71,71
1568.bmp,72,72
1569.bmp,73,73
1570.bmp,74,62
1571.bmp,75,75
1572.bmp,76,76
1573.bmp,77,83
1574.bmp,78,78
1575.bmp,79,79
1576.bmp,0,0
1577.bmp,81,81
1578.bmp,82,82
1579.bmp,83,83
1580.bmp,84,84
1581.bmp,85,85
1582.bmp,86,86
1583.bmp,87,87
1584.bmp,88,88
1585.bmp,89,89
1586.bmp,90,120
1587.bmp,91,91
1588.bmp,92,92
1589.bmp,93,93
1590.bmp,94,94
1591.bmp,95,95
1592.bmp,96,96
1593.bmp,97,96
1594.bmp,98,98
1595.bmp,99,99
1596.bmp,100,100
1597.bmp,101,101
1598.bmp,102,102
1599.bmp,103,103
1600.bmp,104,104
1601.bmp,105,105
1602.bmp,106,106
1603.bmp,107,107
1604.bmp,108,108
1605.bmp,109,109
1606.bmp,110,110
1607.bmp,111,111
1608.bmp,112,112
1609.bmp,113,50
1610.bmp,114,114
1611.bmp,115,115
1612.bmp,116,116
1613.bmp,117,155
1614.bmp,118,22
1615.bmp,119,119
1616.bmp,120,120
1617.bmp,121,121
1618.bmp,122,122
1619.bmp,123,123
1620.bmp,124,124
1621.bmp,125,125
1622.bmp,126,126
1623.bmp,127,127
1624.bmp,128,128
1625.bmp,129,129
1626.bmp,130,82
1627.bmp,131,131
1628.bmp,132,132
1629.bmp,133,133
1630.bmp,134,134
1631.bmp,135,134
1632.bmp,136,136
1633.bmp,137,137
1634.bmp,138,138
1635.bmp,139,139
1636.bmp,140,140
1637.bmp,141,141
1638.bmp,142,142
1639.bmp,143,143
1640.bmp,144,144
1641.bmp,145,145
1642.bmp,146,146
1643.bmp,147,147
1644.bmp,148,148
1645.bmp,149,149
1646.bmp,150,150
1647.bmp,151,151
1648.bmp,152,147
1649.bmp,153,153
1650.bmp,154,154
1651.bmp,155,155
1652.bmp,1,1
1653.bmp,8,8
1654.bmp,13,13
1655.bmp,18,18
1656.bmp,21,21
1657.bmp,22,22
1658.bmp,23,23
1659.bmp,24,24
1660.bmp,25,25
1661.bmp,26,26
1662.bmp,27,27
1663.bmp,28,28
1664.bmp,29,29
1665.bmp,30,30
1666.bmp,31,31
1667.bmp,32,32
1668.bmp,33,33
1669.bmp,34,34
1670.bmp,35,35
1671.bmp,36,36
1672.bmp,37,37
1673.bmp,38,38
1674.bmp,39,39
1675.bmp,40,40
1676.bmp,41,41
1677.bmp,42,42
1678.bmp,43,43
1679.bmp,44,44
1680.bmp,45,45
1681.bmp,46,46
1682.bmp,47,47
1683.bmp,48,48
1684.bmp,49,49
1685.bmp,50,50
1686.bmp,51,51
1687.bmp,52,52
1688.bmp,53,53
1689.bmp,54,16
1690.bmp,55,55
1691.bmp,56,56
1692.bmp,57,57
1693.bmp,58,58
1694.bmp,59,59
1695.bmp,60,60
1696.bmp,61,61
1697.bmp,62,80
1698.bmp,63,63
1699.bmp,64,64
1700.bmp,65,65
1701.bmp,66,66
1702.bmp,67,67
1703.bmp,68,68
1704.bmp,69,69
1705.bmp,70,70
1706.bmp,71,71
1707.bmp,72,72
1708.bmp,73,73
1709.bmp,74,74
1710.bmp,75,75
1711.bmp,76,76
1712.bmp,77,77
1713.bmp,78,78
1714.bmp,79,79
1715.bmp,0,0
1716.bmp,81,81
1717.bmp,82,82
1718.bmp,83,83
1719.bmp,84,84
1720.bmp,85,43
1721.bmp,86,86
1722.bmp,87,137
1723.bmp,88,88
1724.bmp,89,89
1725.bmp,90,36
1726.bmp,91,91
1727.bmp,92,92
1728.bmp,93,93
1729.bmp,94,94
1730.bmp,95,95
1731.bmp,96,97
1732.bmp,97,97
1733.bmp,98,98
1734.bmp,99,99
1735.bmp,100,100
1736.bmp,101,101
1737.bmp,102,102
1738.bmp,103,103
1739.bmp,104,104
1740.bmp,105,105
1741.bmp,106,106
1742.bmp,107,107
1743.bmp,108,108
1744.bmp,109,109
1745.bmp,110,110
1746.bmp,111,21
1747.bmp,112,112
1748.bmp,113,83
1749.bmp,114,72
1750.bmp,115,115
1751.bmp,116,116
1752.bmp,117,117
1753.bmp,118,118
1754.bmp,119,71
1755.bmp,120,120
1756.bmp,121,121
1757.bmp,122,122
1758.bmp,123,123
1759.bmp,124,123
1760.bmp,125,125
1761.bmp,126,126
1762.bmp,127,127
1763.bmp,128,128
1764.bmp,129,151
1765.bmp,130,151
1766.bmp,131,131
1767.bmp,132,132
1768.bmp,133,133
1769.bmp,134,122
1770.bmp,135,135
1771.bmp,136,135
1772.bmp,137,137
1773.bmp,138,138
1774.bmp,139,139
1775.bmp,140,47
1776.bmp,141,141
1777.bmp,142,142
1778.bmp,143,143
1779.bmp,144,50
1780.bmp,145,145
1781.bmp,146,33
1782.bmp,147,147
1783.bmp,148,11
1784.bmp,149,149
1785.bmp,150,150
1786.bmp,151,151
1787.bmp,152,125
1788.bmp,153,153
1789.bmp,154,154
1790.bmp,155,155
1791.bmp,1,1
1792.bmp,8,8
1793.bmp,13,13
1794.bmp,18,18
1795.bmp,21,21
1796.bmp,22,22
1797.bmp,23,23
1798.bmp,24,24
1799.bmp,25,18
1800.bmp,26,26
1801.bmp,27,27
1802.bmp,28,28
1803.bmp,29,29
1804.bmp,30,30
1805.bmp,31,31
1806.bmp,32,32
1807.bmp,33,33
1808.bmp,34,34
1809.bmp,35,35
1810.bmp,36,36
1811.bmp,37,37
1812.bmp,38,38
1813.bmp,39,39
1814.bmp,40,40
1815.bmp,41,41
1816.bmp,42,42
1817.bmp,43,43
1818.bmp,44,44
1819.bmp,45,45
1820.bmp,46,118
1821.bmp,47,47
1822.bmp,48,120
1823.bmp,49,49
1824.bmp,50,50
1825.bmp,51,51
1826.bmp,52,52
1827.bmp,53,52
1828.bmp,54,54
1829.bmp,55,55
1830.bmp,56,56
1831.bmp,57,57
1832.bmp,58,58
1833.bmp,59,59
1834.bmp,60,60
1835.bmp,61,61
1836.bmp,62,62
1837.bmp,63,63
1838.bmp,64,64
1839.bmp,65,65
1840.bmp,66,66
1841.bmp,67,67
1842.bmp,68,68
1843.bmp,69,69
1844.bmp,70,70
1845.bmp,71,71
1846.bmp,72,72
1847.bmp,73,115
1848.bmp,74,74
1849.bmp,75,75
1850.bmp,76,76
1851.bmp,77,77
1852.bmp,78,78
1853.bmp,79,79
1854.bmp,0,0
1855.bmp,81,81
1856.bmp,82,82
1857.bmp,83,83
1858.bmp,84,84
1859.bmp,85,85
1860.bmp,86,86
1861.bmp,87,87
1862.bmp,88,88
1863.bmp,89,89
1864.bmp,90,90
1865.bmp,91,91
1866.bmp,92,92
1867.bmp,93,93
1868.bmp,94,94
1869.bmp,95,95
1870.bmp,96,96
1871.bmp,97,97
1872.bmp,98,98
1873.bmp,99,99
1874.bmp,100,100
1875.bmp,101,101
1876.bmp,102,102
1877.bmp,103,103
1878.bmp,104,104
1879.bmp,105,105
1880.bmp,106,106
1881.bmp,107,123
1882.bmp,108,108
1883.bmp,109,109
1884.bmp,110,110
1885.bmp,111,111
1886.bmp,112,112
1887.bmp,113,113
1888.bmp,114,114
1889.bmp,115,114
1890.bmp,116,116
1891.bmp,117,117
1892.bmp,118,118
1893.bmp,119,119
1894.bmp,120,120
1895.bmp,121,121
1896.bmp,122,122
1897.bmp,123,123
1898.bmp,124,124
1899.bmp,125,152
1900.bmp,126,126
1901.bmp,127,127
1902.bmp,128,128
1903.bmp,129,129
1904.bmp,130,130
1905.bmp,131,131
1906.bmp,132,132
1907.bmp,133,133
1908.bmp,134,134
1909.bmp,135,135
1910.bmp,136,136
1911.bmp,137,137
1912.bmp,138,138
1913.bmp,139,139
1914.bmp,140,140
1915.bmp,141,141
1916.bmp,142,142
1917.bmp,143,143
1918.bmp,144,144
1919.bmp,145,145
1920.bmp,146,146
1921.bmp,147,147
1922.bmp,148,148
1923.bmp,149,149
1924.bmp,150,150
1925.bmp,151,151
1926.bmp,152,152
1927.bmp,153,153
1928.bmp,154,154
1929.bmp,155,93
1930.bmp,1,1
1931.bmp,8,8
1932.bmp,13,13
1933.bmp,18,18
1934.bmp,21,21
1935.bmp,22,22
1936.bmp,23,23
1937.bmp,24,24
1938.bmp,25,25
1939.bmp,26,26
1940.bmp,27,27
1941.bmp,28,28
1942.bmp,29,29
1943.bmp,30,30
1944.bmp,31,31
1945.bmp,32,32
1946.bmp,33,33
1947.bmp,34,52
1948.bmp,35,35
1949.bmp,36,36
1950.bmp,37,37
1951.bmp,38,38
1952.bmp,39,39
1953.bmp,40,40
1954.bmp,41,41
1955.bmp,42,42
1956.bmp,43,43
1957.bmp,44,44
1958.bmp,45,45
1959.bmp,46,46
1960.bmp,47,47
1961.bmp,48,48
1962.bmp,49,49
1963.bmp,50,50
1964.bmp,51,51
1965.bmp,52,52
1966.bmp,53,53
1967.bmp,54,54
1968.bmp,55,55
1969.bmp,56,56
1970.bmp,57,57
1971.bmp,58,58
1972.bmp,59,59
1973.bmp,60,60
1974.bmp,61,61
1975.bmp,62,62
1976.bmp,63,63
1977.bmp,64,64
1978.bmp,65,65
1979.bmp,66,66
1980.bmp,67,67
1981.bmp,68,110
1982.bmp,69,99
1983.bmp,70,70
1984.bmp,71,71
1985.bmp,72,72
1986.bmp,73,73
1987.bmp,74,74
1988.bmp,75,75
1989.bmp,76,64
1990.bmp,77,77
1991.bmp,78,78
1992.bmp,79,67
1993.bmp,0,0
1994.bmp,81,81
1995.bmp,82,80
1996.bmp,83,83
1997.bmp,84,42
1998.bmp,85,85
1999.bmp,86,86
2000.bmp,87,87
2001.bmp,88,88
2002.bmp,89,89
2003.bmp,90,90
2004.bmp,91,91
2005.bmp,92,92
2006.bmp,93,93
2007.bmp,94,94
2008.bmp,95,95
2009.bmp,96,96
2010.bmp,97,97
2011.bmp,98,98
2012.bmp,99,99
2013.bmp,100,101
2014.bmp,101,101
2015.bmp,102,60
2016.bmp,103,103
2017.bmp,104,104
2018.bmp,105,105
2019.bmp,106,106
2020.bmp,107,107
2021.bmp,108,108
2022.bmp,109,109
2023.bmp,110,50
2024.bmp,111,59
2025.bmp,112,112
2026.bmp,113,113
2027.bmp,114,114
2028.bmp,115,115
2029.bmp,116,116
2030.bmp,117,117
2031.bmp,118,118
2032.bmp,119,119
2033.bmp,120,120
2034.bmp,121,121
2035.bmp,122,122
2036.bmp,123,123
2037.bmp,124,124
2038.bmp,125,125
2039.bmp,126,126
2040.bmp,127,127
2041.bmp,128,128
2042.bmp,129,61
2043.bmp,130,130
2044.bmp,131,143
2045.bmp,132,132
2046.bmp,133,133
2047.bmp,134,134
2048.bmp,135,135
2049.bmp,136,136
2050.bmp,137,137
2051.bmp,138,138
2052.bmp,139,143
2053.bmp,140,95
2054.bmp,141,141
2055.bmp,142,141
2056.bmp,143,143
2057.bmp,144,144
2058.bmp,145,145
2059.bmp,146,25
2060.bmp,147,147
2061.bmp,148,148
2062.bmp,149,149
2063.bmp,150,150
2064.bmp,151,151
2065.bmp,152,152
2066.bmp,153,153
2067.bmp,154,154
2068.bmp,155,117
2069.bmp,1,1
2070.bmp,8,8
2071.bmp,13,13
2072.bmp,18,18
2073.bmp,21,21
2074.bmp,22,22
2075.bmp,23,23
2076.bmp,24,24
2077.bmp,25,25
2078.bmp,26,26
2079.bmp,27,27
2080.bmp,28,28
2081.bmp,29,29
2082.bmp,30,30
2083.bmp,31,31
2084.bmp,32,32
2085.bmp,33,33
2086.bmp,34,34
2087.bmp,35,35
2088.bmp,36,36
2089.bmp,37,37
2090.bmp,38,38
2091.bmp,39,39
2092.bmp,40,40
2093.bmp,41,41
2094.bmp,42,42
2095.bmp,43,43
2096.bmp,44,44
2097.bmp,45,117
2098.bmp,46,46
2099.bmp,47,47
2100.bmp,48,48
2101.bmp,49,49
2102.bmp,50,50
2103.bmp,51,51
2104.bmp,52,52
2105.bmp,53,50
2106.bmp,54,54
2107.bmp,55,55
2108.bmp,56,56
2109.bmp,57,57
2110.bmp,58,58
2111.bmp,59,59
2112.bmp,60,60
2113.bmp,61,61
2114.bmp,62,62
2115.bmp,63,63
2116.bmp,64,64
2117.bmp,65,65
2118.bmp,66,66
2119.bmp,67,67
2120.bmp,68,68
2121.bmp,69,69
2122.bmp,70,70
2123.bmp,71,71
2124.bmp,72,72
2125.bmp,73,73
2126.bmp,74,74
2127.bmp,75,75
2128.bmp,76,76
2129.bmp,77,77
2130.bmp,78,78
2131.bmp,79,67
2132.bmp,0,0
2133.bmp,81,81
2134.bmp,82,82
2135.bmp,83,83
2136.bmp,84,84
2137.bmp,85,85
2138.bmp,86,86
2139.bmp,87,75
2140.bmp,88,88
2141.bmp,89,77
2142.bmp,90,90
2143.bmp,91,91
2144.bmp,92,92
2145.bmp,93,0
2146.bmp,94,94
2147.bmp,95,95
2148.bmp,96,96
2149.bmp,97,25
2150.bmp,98,56
2151.bmp,99,57
2152.bmp,100,100
2153.bmp,101,101
2154.bmp,102,60
2155.bmp,103,61
2156.bmp,104,104
2157.bmp,105,105
2158.bmp,106,106
2159.bmp,107,107
2160.bmp,108,108
2161.bmp,109,109
2162.bmp,110,14
2163.bmp,111,111
2164.bmp,112,112
2165.bmp,113,113
2166.bmp,114,114
2167.bmp,115,115
2168.bmp,116,116
2169.bmp,117,155
2170.bmp,118,24
2171.bmp,119,119
2172.bmp,120,120
2173.bmp,121,151
2174.bmp,122,122
2175.bmp,123,123
2176.bmp,124,124
2177.bmp,125,125
2178.bmp,126,126
2179.bmp,127,127
2180.bmp,128,128
2181.bmp,129,151
2182.bmp,130,130
2183.bmp,131,131
2184.bmp,132,107
2185.bmp,133,133
2186.bmp,134,107
2187.bmp,135,134
2188.bmp,136,136
2189.bmp,137,137
2190.bmp,138,138
2191.bmp,139,139
2192.bmp,140,140
2193.bmp,141,141
2194.bmp,142,141
2195.bmp,143,143
2196.bmp,144,132
2197.bmp,145,37
2198.bmp,146,146
2199.bmp,147,147
2200.bmp,148,148
2201.bmp,149,149
2202.bmp,150,150
2203.bmp,151,151
2204.bmp,152,128
2205.bmp,153,153
2206.bmp,154,154
2207.bmp,155,155
2208.bmp,1,1
2209.bmp,8,8
2210.bmp,13,13
2211.bmp,18,18
2212.bmp,21,21
2213.bmp,22,22
2214.bmp,23,23
2215.bmp,24,24
2216.bmp,25,25
2217.bmp,26,26
2218.bmp,27,27
2219.bmp,28,28
2220.bmp,29,29
2221.bmp,30,30
2222.bmp,31,31
2223.bmp,32,32
2224.bmp,33,33
2225.bmp,34,52
2226.bmp,35,35
2227.bmp,36,36
2228.bmp,37,37
2229.bmp,38,38
2230.bmp,39,39
2231.bmp,40,40
2232.bmp,41,41
2233.bmp,42,42
2234.bmp,43,43
2235.bmp,44,44
2236.bmp,45,45
2237.bmp,46,46
2238.bmp,47,110
2239.bmp,48,48
2240.bmp,49,49
2241.bmp,50,56
2242.bmp,51,51
2243.bmp,52,52
2244.bmp,53,53
2245.bmp,54,54
2246.bmp,55,55
2247.bmp,56,56
2248.bmp,57,57
2249.bmp,58,58
2250.bmp,59,59
2251.bmp,60,60
2252.bmp,61,61
2253.bmp,62,62
2254.bmp,63,63
2255.bmp,64,64
2256.bmp,65,65
2257.bmp,66,66
2258.bmp,67,67
2259.bmp,68,68
2260.bmp,69,69
2261.bmp,70,70
2262.bmp,71,71
2263.bmp,72,72
2264.bmp,73,73
2265.bmp,74,62
2266.bmp,75,75
2267.bmp,76,76
2268.bmp,77,77
2269.bmp,78,78
2270.bmp,79,67
2271.bmp,0,0
2272.bmp,81,81
2273.bmp,82,82
2274.bmp,83,83
2275.bmp,84,84
2276.bmp,85,85
2277.bmp,86,86
2278.bmp,87,87
2279.bmp,88,88
2280.bmp,89,89
2281.bmp,90,90
2282.bmp,91,91
2283.bmp,92,92
2284.bmp,93,93
2285.bmp,94,94
2286.bmp,95,95
2287.bmp,96,96
2288.bmp,97,97
2289.bmp,98,98
2290.bmp,99,99
2291.bmp,100,100
2292.bmp,101,101
2293.bmp,102,102
2294.bmp,103,103
2295.bmp,104,104
2296.bmp,105,105
2297.bmp,106,106
2298.bmp,107,107
2299.bmp,108,108
2300.bmp,109,109
2301.bmp,110,110
2302.bmp,111,111
2303.bmp,112,112
2304.bmp,113,113
2305.bmp,114,114
2306.bmp,115,115
2307.bmp,116,116
2308.bmp,117,117
2309.bmp,118,118
2310.bmp,119,119
2311.bmp,120,120
2312.bmp,121,121
2313.bmp,122,122
2314.bmp,123,123
2315.bmp,124,135
2316.bmp,125,125
2317.bmp,126,126
2318.bmp,127,125
2319.bmp,128,128
2320.bmp,129,150
2321.bmp,130,134
2322.bmp,131,131
2323.bmp,132,132
2324.bmp,133,133
2325.bmp,134,134
2326.bmp,135,134
2327.bmp,136,135
2328.bmp,137,137
2329.bmp,138,138
2330.bmp,139,139
2331.bmp,140,140
2332.bmp,141,140
2333.bmp,142,142
2334.bmp,143,143
2335.bmp,144,144
2336.bmp,145,37
2337.bmp,146,33
2338.bmp,147,147
2339.bmp,148,148
2340.bmp,149,149
2341.bmp,150,150
2342.bmp,151,151
2343.bmp,152,135
2344.bmp,153,153
2345.bmp,154,154
2346.bmp,155,155
2347.bmp,1,1
2348.bmp,8,8
2349.bmp,13,13
2350.bmp,18,42
2351.bmp,21,21
2352.bmp,22,22
2353.bmp,23,23
2354.bmp,24,24
2355.bmp,25,25
2356.bmp,26,27
2357.bmp,27,27
2358.bmp,28,28
2359.bmp,29,29
2360.bmp,30,30
2361.bmp,31,31
2362.bmp,32,32
2363.bmp,33,33
2364.bmp,34,34
2365.bmp,35,35
2366.bmp,36,36
2367.bmp,37,37
2368.bmp,38,38
2369.bmp,39,39
2370.bmp,40,40
2371.bmp,41,41
2372.bmp,42,42
2373.bmp,43,43
2374.bmp,44,44
2375.bmp,45,45
2376.bmp,46,46
2377.bmp,47,118
2378.bmp,48,48
2379.bmp,49,49
2380.bmp,50,50
2381.bmp,51,51
2382.bmp,52,52
2383.bmp,53,53
2384.bmp,54,54
2385.bmp,55,55
2386.bmp,56,56
2387.bmp,57,57
2388.bmp,58,58
2389.bmp,59,59
2390.bmp,60,60
2391.bmp,61,61
2392.bmp,62,62
2393.bmp,63,63
2394.bmp,64,64
2395.bmp,65,59
2396.bmp,66,66
2397.bmp,67,67
2398.bmp,68,68
2399.bmp,69,69
2400.bmp,70,70
2401.bmp,71,71
2402.bmp,72,72
2403.bmp,73,73
2404.bmp,74,74
2405.bmp,75,75
2406.bmp,76,76
2407.bmp,77,77
2408.bmp,78,78
2409.bmp,79,79
2410.bmp,0,0
2411.bmp,81,81
2412.bmp,82,82
2413.bmp,83,83
2414.bmp,84,84
2415.bmp,85,85
2416.bmp,86,86
2417.bmp,87,138
2418.bmp,88,88
2419.bmp,89,89
2420.bmp,90,90
2421.bmp,91,91
2422.bmp,92,92
2423.bmp,93,93
2424.bmp,94,94
2425.bmp,95,95
2426.bmp,96,96
2427.bmp,97,97
2428.bmp,98,80
2429.bmp,99,99
2430.bmp,100,100
2431.bmp,101,101
2432.bmp,102,102
2433.bmp,103,103
2434.bmp,104,104
2435.bmp,105,105
2436.bmp,106,106
2437.bmp,107,107
2438.bmp,108,108
2439.bmp,109,109
2440.bmp,110,110
2441.bmp,111,111
2442.bmp,112,112
2443.bmp,113,113
2444.bmp,114,114
2445.bmp,115,115
2446.bmp,116,116
2447.bmp,117,7
2448.bmp,118,118
2449.bmp,119,119
2450.bmp,120,120
2451.bmp,121,121
2452.bmp,122,122
2453.bmp,123,123
2454.bmp,124,123
2455.bmp,125,125
2456.bmp,126,126
2457.bmp,127,127
2458.bmp,128,128
2459.bmp,129,129
2460.bmp,130,17
2461.bmp,131,131
2462.bmp,132,132
2463.bmp,133,133
2464.bmp,134,134
2465.bmp,135,135
2466.bmp,136,136
2467.bmp,137,137
2468.bmp,138,138
2469.bmp,139,139
2470.bmp,140,140
2471.bmp,141,141
2472.bmp,142,142
2473.bmp,143,143
2474.bmp,144,144
2475.bmp,145,145
2476.bmp,146,146
2477.bmp,147,152
2478.bmp,148,148
2479.bmp,149,149
2480.bmp,150,150
2481.bmp,151,151
2482.bmp,152,152
2483.bmp,153,153
2484.bmp,154,154
2485.bmp,155,155
2486.bmp,1,1
2487.bmp,8,8
2488.bmp,13,13
2489.bmp,18,18
2490.bmp,21,21
2491.bmp,22,22
2492.bmp,23,23
2493.bmp,24,24
2494.bmp,25,25
2495.bmp,26,26
2496.bmp,27,60
2497.bmp,28,28
2498.bmp,29,29
2499.bmp,30,30
2500.bmp,31,31
2501.bmp,32,32
2502.bmp,33,33
2503.bmp,34,34
2504.bmp,35,35
2505.bmp,36,36
2506.bmp,37,37
2507.bmp,38,38
2508.bmp,39,39
2509.bmp,40,40
2510.bmp,41,41
2511.bmp,42,42
2512.bmp,43,43
2513.bmp,44,44
2514.bmp,45,45
2515.bmp,46,118
2516.bmp,47,47
2517.bmp,48,48
2518.bmp,49,49
2519.bmp,50,50
2520.bmp,51,51
2521.bmp,52,52
2522.bmp,53,53
2523.bmp,54,36
2524.bmp,55,55
2525.bmp,56,56
2526.bmp,57,57
2527.bmp,58,58
2528.bmp,59,59
2529.bmp,60,60
2530.bmp,61,61
2531.bmp,62,62
2532.bmp,63,63
2533.bmp,64,64
2534.bmp,65,65
2535.bmp,66,66
2536.bmp,67,67
2537.bmp,68,68
2538.bmp,69,69
2539.bmp,70,70
2540.bmp,71,71
2541.bmp,72,72
2542.bmp,73,74
2543.bmp,74,74
2544.bmp,75,75
2545.bmp,76,64
2546.bmp,77,77
2547.bmp,78,78
2548.bmp,79,79
2549.bmp,0,0
2550.bmp,81,8
2551.bmp,82,82
2552.bmp,83,83
2553.bmp,84,84
2554.bmp,85,85
2555.bmp,86,86
2556.bmp,87,87
2557.bmp,88,88
2558.bmp,89,89
2559.bmp,90,90
2560.bmp,91,91
2561.bmp,92,92
2562.bmp,93,93
2563.bmp,94,94
2564.bmp,95,95
2565.bmp,96,96
2566.bmp,97,97
2567.bmp,98,98
2568.bmp,99,99
2569.bmp,100,100
2570.bmp,101,101
2571.bmp,102,120
2572.bmp,103,103
2573.bmp,104,107
2574.bmp,105,105
2575.bmp,106,106
2576.bmp,107,107
2577.bmp,108,108
2578.bmp,109,109
2579.bmp,110,113
2580.bmp,111,111
2581.bmp,112,112
2582.bmp,113,23
2583.bmp,114,114
2584.bmp,115,115
2585.bmp,116,119
2586.bmp,117,7
2587.bmp,118,118
2588.bmp,119,119
2589.bmp,120,120
2590.bmp,121,122
2591.bmp,122,122
2592.bmp,123,123
2593.bmp,124,124
2594.bmp,125,125
2595.bmp,126,126
2596.bmp,127,127
2597.bmp,128,128
2598.bmp,129,129
2599.bmp,130,130
2600.bmp,131,131
2601.bmp,132,132
2602.bmp,133,133
2603.bmp,134,134
2604.bmp,135,135
2605.bmp,136,136
2606.bmp,137,137
2607.bmp,138,138
2608.bmp,139,139
2609.bmp,140,140
2610.bmp,141,141
2611.bmp,142,142
2612.bmp,143,123
2613.bmp,144,144
2614.bmp,145,145
2615.bmp,146,146
2616.bmp,147,147
2617.bmp,148,148
2618.bmp,149,148
2619.bmp,150,150
2620.bmp,151,151
2621.bmp,152,152
2622.bmp,153,153
2623.bmp,154,43
2624.bmp,155,155
2625.bmp,1,1
2626.bmp,8,8
2627.bmp,13,13
2628.bmp,18,42
2629.bmp,21,21
2630.bmp,22,22
2631.bmp,23,23
